,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB6,vitaminB12,vitaminC,nicotinic_acid,pantothenic,folic_acid,biotin,calcium,magnesium,iron,copper,selenium,iodine,manganese,molybdenum,chrome,prod_name
0,0.0,10.0,11.0,0.0,0.0,0.0,6.0,0.0,500.0,0.0,0.0,400.0,0.0,500.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,프롬면역
1,224.14,8.83,10.41,38.4,1.0,2.0,6.0,12.0,905.6,33.96,7.69,450.56,45.76,407.52,95.59,9.06,0.0,39.62,0.0,0.0,44.14,0.0,온톤 종합비타민&미네랄(Onton Multivitamins&Minerals)
2,0.0,10.0,11.0,70.0,1.0,2.0,6.0,12.0,1000.0,15.0,5.0,400.0,30.0,230.0,158.0,12.0,0.8,55.0,150.0,3.0,32.0,65.0,메타포텐시
3,180.0,5.0,150.0,0.0,1.0,2.0,6.0,12.0,500.0,15.0,10.0,200.0,0.0,600.0,300.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Glycentials JP (전량수출용)
4,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,100.0,15.0,5.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,인카운터 자미젠
5,0.0,75.0,3.3,80.0,1.0,2.0,6.0,12.0,1000.0,15.0,5.0,400.0,80.0,210.0,94.5,3.6,0.24,16.5,0.0,0.9,7.5,30.0,인큐텐 멀티비타민 트리플 플러스
